device,rmean,length,model,error,std,srate,q75,q90
d884,8,2,0,0.22606388682929812,0.18384089037334805,1.0,0.32153863975305186,0.47346477950856103
all,8,2,0,0.22818542786104926,0.18766774397918723,1.0,0.32178270693900934,0.478733872000458
a650,9,2,0,0.21918498357393412,0.18161329226043652,0.9947643979057592,0.30561998295538306,0.4621835235444224
38b8,9,2,0,0.2358978845790709,0.19371775648099882,0.7539267015706806,0.3314764156612501,0.4988602917609758
14df,9,2,0,0.2082762713736558,0.17593196036516154,0.9947643979057592,0.29224787285017856,0.43907763971642016
d884,9,2,0,0.2255903142378908,0.1861599697595729,1.0,0.31380488976431387,0.4745138159702509
all,9,2,0,0.2272444826636947,0.18846663785087833,1.0,0.3186168773696079,0.4777654329581436
a650,10,2,0,0.21165949325347558,0.17266940145727372,0.9842931937172775,0.2983309028114348,0.44691961509371597
38b8,10,2,0,0.2304603901441255,0.19290886704849175,0.7539267015706806,0.31990932453140486,0.4855282611000847
14df,10,2,0,0.20819218884106575,0.1831718474443689,0.9921465968586387,0.2859897332245268,0.44503482766050967
d884,10,2,0,0.22597304439437157,0.1836673702155413,0.9973821989528796,0.3168352870407398,0.4732547565825743
all,10,2,0,0.2227218999087924,0.18432047328838871,1.0,0.3114009746084974,0.4677190916764349
a650,11,2,0,0.21082780493978606,0.1733403415494822,0.981675392670157,0.2956839588254476,0.4436045461441259
38b8,11,2,0,0.23059272948539372,0.19761883399483646,0.7539267015706806,0.3184181674275055,0.4880930315148419
14df,11,2,0,0.20772503814141804,0.1854904399287383,0.9842931937172775,0.28694352101087045,0.4413206279543894
d884,11,2,0,0.222242755294134,0.17943350682262393,0.9973821989528796,0.3126684970681581,0.46431490399650677
all,11,2,0,0.22185373342903514,0.18679869090712037,1.0,0.30954113754207035,0.4669013880650559
a650,14,2,0,0.21232208691568433,0.17893196050110388,0.9685863874345549,0.2971171425855673,0.44960729257537824
38b8,14,2,0,0.22459480086097813,0.19904494136321713,0.743455497382199,0.30434499408551563,0.4787828760787215
14df,14,2,0,0.21068719020317922,0.187329514217257,0.9607329842931938,0.29191423087359386,0.4527027377766189
d884,14,2,0,0.22154621384574955,0.18348285650444834,0.9790575916230366,0.31130313078815725,0.4693425934047726
all,14,2,0,0.219158614085225,0.1819086075240299,1.0,0.3081961081641599,0.4606964961680482
a650,12,2,0,0.21219655745939622,0.17729215415439223,0.981675392670157,0.3003539625797117,0.44772663047364897
38b8,12,2,0,0.23250602403824946,0.20214998977986015,0.7513089005235603,0.3260107795687507,0.5019497523717271
14df,12,2,0,0.20524522982643587,0.1791841217618903,0.9738219895287958,0.2884963312965818,0.4387850945715908
d884,12,2,0,0.22266888507248842,0.17828049471835875,0.9895287958115183,0.315391717235458,0.4662402781738588
all,12,2,0,0.22408878856139458,0.1878259276966869,1.0,0.3174316139347584,0.47252581490151746
a650,13,2,0,0.2153326428200918,0.17970032224349952,0.9738219895287958,0.30530703195086467,0.4534840320791898
38b8,13,2,0,0.23289983186334326,0.20242961628872894,0.7460732984293194,0.3252437972599571,0.49520575145721013
14df,13,2,0,0.20872157105369304,0.18284722286651975,0.9633507853403142,0.2923925082786669,0.4421208567445048
d884,13,2,0,0.22022325101149468,0.17955243587188296,0.981675392670157,0.3119428481900943,0.4625873634751899
all,13,2,0,0.2201059479832701,0.18224917253834177,1.0,0.3117189306596194,0.4577915898645478
a650,15,2,0,0.2110933701154096,0.17776481179615028,0.9607329842931938,0.29539950822411865,0.4439865707959452
38b8,15,2,0,0.22970536359342134,0.19525319868981944,0.7408376963350786,0.3257633732604637,0.49469199671163555
14df,15,2,0,0.21134980061634207,0.1859972259926414,0.9476439790575916,0.2919573305489178,0.44875388868475696
d884,15,2,0,0.22473702514332752,0.1869514007058341,0.9712041884816754,0.318484262057407,0.4725479047952279
all,15,2,0,0.21935918772410395,0.17950628712143635,1.0,0.3111013366195157,0.45846612318914387
a650,16,2,0,0.20890153262184402,0.17172608086085067,0.9528795811518325,0.296137065146864,0.4423330595937824
38b8,16,2,0,0.22932154380170156,0.1963733238556222,0.7408376963350786,0.31710102977052496,0.48640459720989604
14df,16,2,0,0.21345987820046153,0.18480636646949988,0.9319371727748691,0.29913799076203423,0.4508094756324674
d884,16,2,0,0.22336875020951433,0.18545931362138002,0.9581151832460733,0.31610667475876475,0.4725447210159335
all,16,2,0,0.2206570932063818,0.1787551981869735,1.0,0.31178816059010067,0.4602091592902318
a650,17,2,0,0.20483249933036152,0.17588262701640317,0.93717277486911,0.29414490332177057,0.4383815076432077
38b8,17,2,0,0.22067834333908962,0.18818405919744294,0.7408376963350786,0.30839803900842844,0.4828134075460524
14df,17,2,0,0.20905551759793395,0.18369701695085253,0.9162303664921466,0.29186686465300665,0.44314841638037994
d884,17,2,0,0.22930081787642928,0.18742786497212807,0.9450261780104712,0.32833611088942544,0.4796006893441738
all,17,2,0,0.21524688085649815,0.17352934196051636,1.0,0.3076902447435625,0.45404569228375724
a650,18,2,0,0.21579964362254,0.18192486964443388,0.9319371727748691,0.3013600811140205,0.45682493388918466
38b8,18,2,0,0.22288025923233104,0.1917761592837914,0.7356020942408377,0.3127626204176197,0.48999873547101624
